id,immOpt,delOpt,delay,task
1,4.999650024,5,7,reward
2,9.999300049,10,7,reward
3,19.9986001,20,7,reward
4,49.99650024,50,7,reward
5,4.99850045,5,30,reward
6,9.9970009,10,30,reward
7,19.9940018,20,30,reward
8,49.9850045,50,30,reward
9,4.995504046,5,90,reward
10,9.991008093,10,90,reward
11,19.98201619,20,90,reward
12,49.95504046,50,90,reward
13,4.991016171,5,180,reward
14,9.982032342,10,180,reward
15,19.96406468,20,180,reward
16,49.91016171,50,180,reward
17,4.98181637,5,365,reward
18,9.96363274,10,365,reward
19,19.92726548,20,365,reward
20,49.8181637,50,365,reward
21,4.965243297,5,7,reward
22,9.930486594,10,7,reward
23,19.86097319,20,7,reward
24,49.65243297,50,7,reward
25,4.854368932,5,30,reward
26,9.708737864,10,30,reward
27,19.41747573,20,30,reward
28,48.54368932,50,30,reward
29,4.587155963,5,90,reward
30,9.174311927,10,90,reward
31,18.34862385,20,90,reward
32,45.87155963,50,90,reward
33,4.237288136,5,180,reward
34,8.474576271,10,180,reward
35,16.94915254,20,180,reward
36,42.37288136,50,180,reward
37,3.663003663,5,365,reward
38,7.326007326,10,365,reward
39,14.65201465,20,365,reward
40,36.63003663,50,365,reward
41,4.672897196,5,7,reward
42,9.345794393,10,7,reward
43,18.69158879,20,7,reward
44,46.72897196,50,7,reward
45,3.846153846,5,30,reward
46,7.692307692,10,30,reward
47,15.38461538,20,30,reward
48,38.46153846,50,30,reward
49,2.631578947,5,90,reward
50,5.263157895,10,90,reward
51,10.52631579,20,90,reward
52,26.31578947,50,90,reward
53,1.785714286,5,180,reward
54,3.571428571,10,180,reward
55,7.142857143,20,180,reward
56,17.85714286,50,180,reward
57,1.075268817,5,365,reward
58,2.150537634,10,365,reward
59,4.301075269,20,365,reward
60,10.75268817,50,365,reward
61,0.961538462,5,7,reward
62,1.923076923,10,7,reward
63,3.846153846,20,7,reward
64,9.615384615,50,7,reward
65,0.263157895,5,30,reward
66,0.526315789,10,30,reward
67,1.052631579,20,30,reward
68,2.631578947,50,30,reward
69,0.090909091,5,90,reward
70,0.181818182,10,90,reward
71,0.363636364,20,90,reward
72,0.909090909,50,90,reward
73,0.04587156,5,180,reward
74,0.091743119,10,180,reward
75,0.183486239,20,180,reward
76,0.458715596,50,180,reward
77,0.022727273,5,365,reward
78,0.045454545,10,365,reward
79,0.090909091,20,365,reward
80,0.227272727,50,365,reward
81,4.99850045,5,30,loss
82,9.9970009,10,30,loss
83,19.9940018,20,30,loss
84,49.9850045,50,30,loss
85,4.995504046,5,90,loss
86,9.991008093,10,90,loss
87,19.98201619,20,90,loss
88,49.95504046,50,90,loss
89,4.991016171,5,180,loss
90,9.982032342,10,180,loss
91,19.96406468,20,180,loss
92,49.91016171,50,180,loss
93,4.98181637,5,365,loss
94,9.96363274,10,365,loss
95,19.92726548,20,365,loss
96,49.8181637,50,365,loss
97,4.945843019,5,1095,loss
98,9.891686038,10,1095,loss
99,19.78337208,20,1095,loss
100,49.45843019,50,1095,loss
101,4.854368932,5,30,loss
102,9.708737864,10,30,loss
103,19.41747573,20,30,loss
104,48.54368932,50,30,loss
105,4.587155963,5,90,loss
106,9.174311927,10,90,loss
107,18.34862385,20,90,loss
108,45.87155963,50,90,loss
109,4.237288136,5,180,loss
110,8.474576271,10,180,loss
111,16.94915254,20,180,loss
112,42.37288136,50,180,loss
113,3.663003663,5,365,loss
114,7.326007326,10,365,loss
115,14.65201465,20,365,loss
116,36.63003663,50,365,loss
117,2.386634845,5,1095,loss
118,4.77326969,10,1095,loss
119,9.546539379,20,1095,loss
120,23.86634845,50,1095,loss
121,3.846153846,5,30,loss
122,7.692307692,10,30,loss
123,15.38461538,20,30,loss
124,38.46153846,50,30,loss
125,2.631578947,5,90,loss
126,5.263157895,10,90,loss
127,10.52631579,20,90,loss
128,26.31578947,50,90,loss
129,1.785714286,5,180,loss
130,3.571428571,10,180,loss
131,7.142857143,20,180,loss
132,17.85714286,50,180,loss
133,1.075268817,5,365,loss
134,2.150537634,10,365,loss
135,4.301075269,20,365,loss
136,10.75268817,50,365,loss
137,0.418410042,5,1095,loss
138,0.836820084,10,1095,loss
139,1.673640167,20,1095,loss
140,4.184100418,50,1095,loss
141,0.263157895,5,30,loss
142,0.526315789,10,30,loss
143,1.052631579,20,30,loss
144,2.631578947,50,30,loss
145,0.090909091,5,90,loss
146,0.181818182,10,90,loss
147,0.363636364,20,90,loss
148,0.909090909,50,90,loss
149,0.04587156,5,180,loss
150,0.091743119,10,180,loss
151,0.183486239,20,180,loss
152,0.458715596,50,180,loss
153,0.022727273,5,365,loss
154,0.045454545,10,365,loss
155,0.090909091,20,365,loss
156,0.227272727,50,365,loss
157,0.007598784,5,1095,loss
158,0.015197568,10,1095,loss
159,0.030395137,20,1095,loss
160,0.075987842,50,1095,loss
